Book-Title,Book-Author,Publisher
Lady's Man,Suzanne Simmons,St. Martin's Press
The Fortune Hunter (Signet Regency Romance),Diane Farr,Signet Book
Sea Glass: A Novel,Anita Shreve,Back Bay Books
Just Over The Mountain,Robyn Carr,Mira
"Man I Used To Know  (Love That Man) (Harlequin Superromance, 831)",Margot Dalton,Harlequin
"Done Driftin' (The Dunleavy Legacy) (Harlequin Superromance, No 654)",Janis Flores,Harlequin
Mountain Laurel (Love Inspired (Numbered)),Kate Welsh,Steeple Hill
TREASURE-CUSSLER,Clive Cussler,Pocket
The Sword of Orion,Robin A. White,Fawcett Books
ICE WARRIOR,Richard Parry,Pocket
Beneath the Silent Sea,Richard P. Henrick,Zebra/pinnacle Books
The Silent Service: Los Angeles Class,H. Jay Riker,Avon
Maximum Impact,Jean Heller,Tor Books (Mm)
"Supercarrier: An Inside Account of Life Aboard the World's Most Powerful Ship, the Uss John F. Kennedy",George C. Wilson,Berkley Pub Group
CW2    (CO),L. HEATH,Avon
Wolfs-Bane,Craig Thomas,Bantam Books
Silent Sea,Harry Homewood,Bantam Books
Anima mundi (Romanzi e racconti),Susanna Tamaro,"Baldini &amp, Castoldi"
Il Giovane Holden,J. D. Salinger,Distribooks Inc
Una Donna,Aleramo,Feltrinelli
El Ultimo Judio (Punto de Lectura),Noah Gordon,Punto de Lectura
My Side of the Mountain,Jean Craighead George,Scott Foresman (Pearson K-12)
Kaleidoscope,June Stepansky,A Different Voice Publishing Co.
A Different Voice,June Stepansky,A Different Voice Publishing Co.
My Antonia (Willa Cather Scholarly Edition Series),Willa Cather,Bison
Every Secret Thing : A Novel,Laura Lippman,William Morrow
American Pastoral,Philip Roth,Vintage
Sophies Choice,William Styron,Bantam Doubleday Dell
A Connecticut Yankee in King Arthur's Court,Mark Twain,Tor Books
The Guns of Avalon (Chronicles of Amber),Roger Zelazny,Harper Mass Market Paperbacks (Mm)
Nine Princes In Amber,Roger Zelazny,Avon
Flower Arranging (Rd Home Handbooks),Malcolm Hillier,Reader's Digest Association
Year In Provence,Peter Mayle,Pan Books Ltd
De Bons Presages,T. Pratchett,Editions 84
Du bon usage de la lenteur,Pierre Sansot,Rivages
Journal De Anne Frank,Anne Frank,Livre De Poche French
Le Pigeon,Patrick Suskind,Livre De Poche French
L'Ultimo Natale Di Guerra: A Cura Di Marco Belpoliti,Primo Levi,Distribooks Inc
Man from the Broken Hills,Louis L'Amour,Bantam Books
El Amor En Los Tiempos Del Colera / Love in the Times of Cholera,Gabriel Garcia Marquez,Sudamericana
Cien AÃ±os de Soledad,Gabriel GarcÃ­a MÃ¡rquez,Ediciones Catedra S.A.
The Aguero Sisters (Ballantine Reader's Circle),Cristina Garcia,Ballantine Books
The Ghost of Hannah Mendes,Naomi Ragen,St. Martin's Griffin
Seraglio,Janet Wallach,Nan A. Talese
Portrait in Sepia : A Novel,Isabel Allende,Perennial
Daughter of Fortune: A Novel,Isabel Allende,HarperTorch
The Pearl (Women of Faith Fiction),Angela Elwell Hunt,WestBow Press
Schatten Ã?Â¼ber den Weiden.,Nora Roberts,Heyne
Shadow of the Hegemon,Orson Scott Card,Audio Literature
April Fool Dead: A Death on Demand Mystery,Carolyn G. Hart,"William Morrow &amp, Company"
Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,Health Communications
The Ledge,Michael Collier,Houghton Mifflin Company
Substitute Teaching: A Handbook for Hassle-Free Subbing,Barbara Pronin,St. Martin's Press
Emotional Purity : An Affair of the Heart,Heather Arnel Paulsen,Winepress Publishing
Seven Habits Of Highly Effective People,Stephen R. Covey,Free Press
The Mysterious Affair at Styles : A Detective Story (Modern Library Classics),AGATHA CHRISTIE,Modern Library
Yeats Is Dead! (Vintage Crime/Black Lizard),Joseph O'Connor,Vintage Books USA
Worse Than a Crime,Anne Burton,Harlequin
A Question of Guilt,Frances Fyfield,Pocket
Puppet for a Corpse,Dorothy Simpson,Bantam Books
River of Hidden Dreams,Connie May Fowler,Putnam Pub Group
Skinny Legs and All,Tom Robbins,Bantam
Vermillion eye: A chiller of a thriller that will shock you to the bone,Halim,Pelanduk Publications
You're Fifty--Now What?: Investing for the Second Half of Your Life,Charles R. Schwab,Crown Business
Judging Time (April Woo Suspense Novels (Paperback)),Leslie Glass,Signet Book
A Secret Affair,Barbara Taylor Bradford,HarperTorch
Suspicion of Deceit,Barbara Parker,Signet Book
Dangerous to Know,Barbara Taylor Bradford,HarperTorch
Politika (Tom Clancy's Power Plays (Paperback)),Tom Clancy,Berkley Publishing Group
Blood Orchid,Stuart Woods,Signet Book
Im Wald der gehenkten FÃ?Â¼chse.,Arto Paasilinna,LÃ?Â¼bbe
Novecento : Pianiste,Alessandro Baricco,Gallimard
Fahrenheit 451,RAY BRADBURY,Del Rey
The Selfish Gene,Richard Dawkins,Oxford University Press
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,Tor Books
"House Harkonnen (Dune: House Trilogy, Book 2)",Brian Herbert,Spectra Books
"Chapterhouse Dune (Dune Chronicles, Book 6)",Frank Herbert,ACE Charter
"Heretics of Dune (Dune Chronicles, Book 5)",Frank Herbert,ACE Charter
"God Emperor of Dune (Dune Chronicles, Book 4)",Frank Herbert,ACE Charter
"Children of Dune (Dune Chronicles, Book 3)",Frank Herbert,Ace Books
"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,Ballantine Books
Serpico,Peter Maas,HarperTorch
Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),American Psychiatric Association,American Psychiatric Association
The Andromeda Strain,MICHAEL CRICHTON,Ballantine Books
"Loves Music, Loves to Dance",Mary Higgins Clark,Pocket
The Killer Angels,Michael Shaara,Ballantine Books
Dolores Claiborne,Stephen King,Signet Book
America's Best Slow Cooker Recipes,Donna-Marie Pye,Robert Rose
Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,Ballantine Books
The Hero and the Crown,Robin McKinley,ACE Charter
Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen,Touchstone
Pooh's Little Book of Feng Shui,Anna Ludlow,Dutton Books
"Lord of Chaos (The Wheel of Time, Book 6)",Robert Jordan,Tor Fantasy
"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,Tor Fantasy
"The Shadow Rising (The Wheel of Time, Book 4)",Robert Jordan,Tor Fantasy
"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,Tor Books
"New Threads in the Pattern: The Great Hunt, Part 2 (The Wheel of Time, Book 2)",Robert Jordan,Starscape
"The Hunt Begins: The Great Hunt, Part 1 (The Wheel of Time, Book 2, Part 1)",Robert Jordan,Starscape
"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,Tor Fantasy
Introductory Lectures on Psychoanalysis,Sigmund Freud,Liveright Publishing Corporation
The Method of Zen,EUGEN HERRIGEL,Vintage
King Lear,William Shakespeare,Washington Square Press
Confessions of Saint Augustine (Image Book),St. Augustine,Image
The Individual In A Social World: Essays and Experiments,Stanley  Milgram,McGraw-Hill Humanities/Social Sciences/Languages
Sun Tzu's The Art of War Plus The Original Chinese Revealed,Sun Tzu,Clearbridge Publishing
The Book of Five Rings,Miyamoto Musashi,Bantam
Archery Anatomy: An Introduction to Techniques for Improved Performance,Ray Axford,Souvenir Press
"One Arrow, One Life: Zen, Archery, Enlightenment",Kenneth Kushner,Tuttle Publishing
Zen in the Art of Archery (Vintage Spiritual Classics),EUGEN HERRIGEL,Vintage
"Plane Insanity: A Flight Attendant's Tales of Sex, Rage, and Queasiness at 30,000 Feet",Elliott Hester,St. Martin's Press
The Street Lawyer,John Grisham,Random House Uk Ltd
Love Me Tender (Starlight),Libby Hathorn,Hodder Headline Australia
Growing Pains of Adrian Mole,Sue Townsend,Methuen Publishing Ltd
How to Make Square Eggs,Paul Temple,Random House Children's Books (A Division of Random House Group)
A Bridge to Wiseman's Cove (Uqp Young Adult Fiction),James Moloney,Intl Specialized Book Service Inc
Starsong (Tsr Books),Dan Parkinson,Wizards of the Coast
"People of the Mist (The First North Americans series, Book 9)",Kathleen O'Neal Gear,Tor Books
Harm's Way,Stephen White,Signet Book
Die Spinne und das MÃ?Â¤dchen.,Sophie Schallingher,Scherz
Die Bildhauerin.,Minette Walters,Goldmann
20 Jahre 40 bleiben. Jung und schÃ?Â¶n in den besten Jahren.,Josephine Fairley,Midena
Goddess Blood: Book One of the Goddess Trilogy,R. T. Burns,Writer's Showcase Press
Clear and Present Danger (Jack Ryan Novels),Tom Clancy,Berkley Publishing Group
Time Wars,Poul Anderson,Tor Books
The Return,Buzz Aldrin,Tor Books
Lord of the Dance,Andrew M Greeley,Warner Books> C/o Little Br
Dinner at the Homesick Restaurant,Anne Tyler,Ivy Books
The Fourth Wall,Beth Saulnier,Warner Books
Newjack: Guarding Sing Sing (Vintage),Ted Conover,Vintage Books USA
"Homestead, A Memoir",Jane Kirkpatrick,Maverick Publications
The Quilt of Life: A Patchwork of Devotional Thoughts (Inspirational Library (Paperback)),Mary Tatem,Barbour Publishing
"All Together in One Place: A Novel of Kinship, Courage, and Faith (Kirkpatrick, Jane. Kinship and Courage Historical Series, Bk. 1.)",Jane Kirkpatrick,Waterbrook Press
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,Doubleday
Martha Stuart's Better Than You at Entertaining (A Parody),Tom Connor,Perennial Currents
Pigs in Heaven,Barbara Kingsolver,Perennial
"Napalm &amp, Silly Putty",George Carlin,Hyperion
Having Our Say: The Delany Sisters' First 100 Years,Sarah Louise Delany,Kodansha America
Stop Being Mean to Yourself: A Story About Finding the True Meaning of Self-Love,Melody Beattie,HarperSanFrancisco
Tell No One,Harlan Coben,Dell Publishing Company
ROGUE WARRIOR: ROGUE WARRIOR I  (PAPERBACK),Richard Marcinko,Pocket
Deadly Justice,William Bernhardt,Ballantine Books
True Crime: The Novel,Andrew Klavan,Dell
"The Pilates Body: The Ultimate At-Home Guide to Strengthening, Lengthening, and Toning Your Body--Without Machines",Brooke Siler,Broadway Books
The Self-Esteem Companion,Matthew McKay,New Harbinger Publications
"What Women Want: What Every Man Needs to Know About Sex, Romance, Passion, and Pleasure",Laurence Roy Stains,Ballantine Books
Dada and Surrealism: A Very Short Introduction (Very Short Introductions),David Hopkins,Oxford University Press
Creativity : Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,Perennial
"Eats, Shoots &amp, Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,Gotham Books
The Big Book of Calm,Paul Wilson,Michael Joseph
Diary of a Language Teacher,Joachim Appel,Heinemann
Naked,David Sedaris,"Little Brown &amp, Co"
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,Bantam Dell Pub Group
Why Not Me?: The Inside Story of the Making and Unmaking of the Franken Presidency,Al Franken,Bantam Dell Pub Group
Book,Whoopi Goldberg,"William Morrow &amp, Company"
Dirty Jokes and Beer : Stories of the Unrefined,Drew Carey,Hyperion Books
Waiting (Vintage International),Ha Jin,Vintage Books USA
Maya,Jostein Gaarder,Phoenix mass market p/bk
The Portable Curmudgeon,Jon Winokur,Plume Books
Film Studies (Teach Yourself Educational S.),Warren Buckland,Hodder Arnold Teach Yourself
Becoming a Critical Thinker: A User Friendly Manual (3rd Edition),Sherry Diestler,Pearson Education
"Sit &amp, Solve - Lateral Thinking Puzzles",Paul Sloane,Sterling Publishing
"Good Advice : More Than 2,000 Quotations to help You Live Your Life",WILLIAM SAFIRE,Gramercy
"The Elements of Style, Fourth Edition",William Strunk Jr.,Pearson Higher Education
How to Say It Style Guide,Rosalie Maggio,Prentice Hall Art
Asking the Right Questions: A Guide to Critical Thinking (6th Edition),M. Neil Browne,Prentice Hall
The Evolution of Desire: Strategies of Human Mating,David M. Buss,Basic Books
Pretty Good Joke Book: A Prairie Home Companion (Prairie Home Companion),Garrison Keillor,Highbridge Audio
Feeling Good : The New Mood Therapy,David D. Burns,Avon
Talking the Winner's Way: 92 Little Tricks for Big Success in Business and Personal Relationships,Leil  Lowndes,McGraw-Hill
The Playful Way to Serious Writing: An Anything-Can-Happen Workbook to Inspire and Delight,Roberta Allen,Mariner Books
Educating Esme: Diary of a Teacher's First Year,Esme Raji Codell,Algonquin Books of Chapel Hill
"The Little Book of Big Ideas: Inspiration, Encouragement &amp, Tips to Stimulate Creativity and Improve Your Life",Harold R. McAlindon,Cumberland House Publishing
Undoing Depression: What Therapy Doesn't Teach You and Medication Can't Give You,Richard O'Connor,Berkley Publishing Group
"What Every American Should Know About the Rest of the World: Your Guide to Today's Hot Spots, Hot Shots, and Incendiary Issues",M. L. Rossi,Plume Books
"The Know-It-All's Guide to Life: How to Climb Mount Everest, Cure Hiccups, Live to 100, and Dozens of Other Practical, Unusual, or Just Plain Fantastical Things",John T. Walbaum,Career Press
A Big New Free Happy Unusual Life: Self-Expression and Spiritual Practice for Those Who Have Time for Neither,Nina Wise,Broadway Books
Oscar Wilde's Wit and Wisdom: A Book of Quotations (Dover Thrift Editions),Oscar Wilde,Dover Publications
The Children's Response: Beyond Tpr Toward Writing,Caroline Linse,Alemany Press
Colossus of Maroussi,Henry Miller,New Directions Publishing Corporation
Fairy Tales (Penguin Popular Classics),H.C. Andersen,Penguin Books Ltd
Nostromo (Penguin Popular Classics),Joseph Conrad,Penguin Books Ltd
101 Bright Ideas: Esl Activities for All Ages,Claire Maria Ford,Pearson Higher Education
"Women Can't Hear What Men Don't Say: Destroying Myths, Creating Love",Warren Farrell Ph.D.,Jeremy P. Tarcher
Northanger Abbey (Bantam Classic),Jane Austen,Bantam Classics
Flowers for Algernon (Bantam Classic),DANIEL KEYES,Bantam
Sooner or Later,Elizabeth Adler,Dell Publishing Company
The Portable Door,Tom Holt,Orbit Book Co.
March of Folly: From Troy to Vietnam,Barbara W. Tuchman,Ballantine Books
Loose living,Frank Moorhouse,Picador
The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend,Methuen Publishing Ltd
Jerk on One End: Reflections of a Mediocre Fisherman,Robert Hughes,Harvill Press
Prize the Epic Quest for Oil Money and Pow,Daniel Yergin,Pocket Books
DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries (Paperback)),Walter Mosley,Pocket
The Sum of All Fears (Jack Ryan Novels),Tom Clancy,Berkley Publishing Group
Why Girls Are Weird : A Novel,Pamela Ribon,Downtown Press
The Mighty,Rodman Philbrick,Scholastic
Adventures of Huckleberry Finn,Mark Twain,Globe Fearon
Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),Agatha Christie,Berkley Publishing Group
The Body in the Library (Miss Marple Mysteries (Paperback)),Agatha Christie,Signet Book
Half Life: What We Give Up to Work,Jeannette Batz,Booksource
"Her Pregnant Agenda : Marrying The Boss's Daughter (Silhouette Romance, 1690)",Linda Goodnight,Silhouette
"To Wed A Sheik   Desert Brides (Silhouette Romance, 1696)",Teresa Southwick,Silhouette
WLD ACCORDNG GARP,John Irving,Pocket
"The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition)",C. S. Lewis,HarperTrophy
Midnight Masquerade,Shirlee Busbee,Avon Books
Flashback,Nevada Barr,Berkley Publishing Group
New Zoos (First Book Series),Madelyn K. Anderson,Scholastic Library Pub
Wedding Night,Gary Devon,AVON
Othello,William Shakespeare,Washington Square Press
You're Not a Kid Anymore When...,Jeff Foxworthy,Longstreet Press
Stalin's Silver: The Sinking of the U.S.S. John Barry,John Beasant,St. Martin's Press
This Present Darkness,Frank E. Peretti,Living Books
The First Counsel,Brad Meltzer,Warner Books
"Tinker, Tailor, Soldier, Spy",John le Carre,Scribner
The Berenstain Bears and Too Much Vacation (First Time Books),Stan Berenstain,Random House Children's Books
Icebound,Dean R. Koontz,Ballantine Books
Young Wives,Olivia Goldsmith,HarperCollins Publishers
The Berlin Stories: The Last of Mr. Norris and  Goodbye to Berlin (New Directions Book),Christopher Isherwood,J. Laughlin
Man's Search For Meaning,Viktor E. Frankl,Pocket
The Kitchen God's Wife (Vintage Contemporaries),Amy Tan,Vintage Books USA
So You Want to Be a Stay-At-Home Mom,Cheryl Gochnauer,InterVarsity Press
Black Notice,Patricia Daniels Cornwell,Berkley Publishing Group
Mystic River,Dennis Lehane,HarperTorch
Hitched,Z. Barnes,Judy Piatkus Publishers Ltd
Fantastic Imagination,Robert Boyer,Harper Mass Market Paperbacks (Mm)
Six of Swords,Carole Nelson Douglas,Del Rey Books
Paradise Wild,Johanna Lindsey,Avon
iI Paradiso Degli Orchi,Daniel Pennac,Universale Economica Feltrinelli
The Celestine Prophecy : An Experiential Guide,Carol Adrienne,Time Warner Audio Major
Huis Clos Suivi de Les Mouches (Folio Ser. No. 807),Jean-Paul Sartre,Distribooks
Escape from Kathmandu,Kim Stanley Robinson,Orb Books
McNally's Chance,Lawrence Sanders,Berkley Publishing Group
The Year's Best Horror Stories: Series XIV,Edward Karl Wagner,New Amer Library (Mm)
Pay It Forward: A Novel,Catherine Ryan Hyde,"Simon &amp, Schuster"
Bola da vez: Romance policial (ColeÃ§Ã£o Romance policial brasileiro),Muniz SodrÃ©,Notrya Editora
A corrente de Trewis Scott,Roberto Schneider,NÃ³rdica
As valkÃ­rias,Paulo Coelho,Rocco
La crÃ³nica del PerÃº (CrÃ³nicas de AmÃ©rica),Pedro de Cieza de LeÃ³n,Historia 16
Blast From the Past,Ben Elton,Bantam Doubleday Dell
"A Treasury of Irish Myth, Legend, and Folklore",Claire Booss,Gramercy Books
Celtic Mythology (Library of the World's Myths and Legends),Proinsias Mac Cana,Peter Bedrick Books
Ancient Celtic Romances,P W Joyce,Parkgate Books
The Western way: A practical guide to the Western mystery tradition,Caitlin Matthews,"Routledge &amp, K. Paul"
Wings,Terry Pratchett,Random House Childrens Books
Truckers,Terry Pratchett,Random House Childrens Books
Keepers of the Earth Teachers Guide,Michael J Caduto,Fulcrum Publishing
The Celts Activity Book,British Museum,Parkwest Publications
The Art Of Celtia,Courtney Davis,Sterling Publishing
The Book of Kells: Selected Plates in Full Color,Blanche Cirker,Dover Publications
"SINGLE &amp, SINGLE",John le Carre,Scribner
Apocalypse Wow,James Finn Garner,"Simon &amp, Schuster"
COPS,Mark Baker,Pocket
A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,Ballantine Books
Dead Sleep,Greg Iles,G. P. Putnam's Sons
Random Acts Of Management:A Dilbert Book,Scott Adams,Andrews McMeel Publishing
Conversations With Dogbert: A Dilbert Book,Scott Adams,Andrews McMeel Publishing
The Dilbert Bunch: A Dilbert Book (Main Street Editions),Scott Adams,Andrews McMeel Publishing
You Don't Need Experience if You've Got Attitude,Scott Adams,Andrews McMeel Publishing
"The Boss: Nameless, Blameless and Shameless (Adams, Scott, Dilbert Book,)",Scott Adams,Andrews McMeel Publishing
The Murder Book,JONATHAN KELLERMAN,Ballantine Books
Shock-Trauma,Jon Franklin,St. Martin's Press
The Jester,James Patterson,"Little, Brown"
"Jupiter's Bones: A Novel (Peter Decker &amp, Rina Lazarus Novels (Hardcover))",Faye Kellerman,Harpercollins
Silent Witness: How Forensic Anthropology Is Used to Solve the World's Toughest Crimes,Roxana Ferllini Timms,Firefly Books Ltd
No Witnesses: A Novel,Ridley Pearson,Island
The Hancock Boys,Thomas William Simpson,Bantam Books
Dead Reckoning: The New Science of Catching Killers,Michael Baden,"Simon &amp, Schuster"
Roadwork,Richard Bachman,Signet Book
Watermelon,Marian Keyes,Avon
Sick Puppy,Carl Hiaasen,Warner Vision
Reliquary,Douglas Preston,St Martins Pr
Turning Thirty,Mike Gayle,"Hodder &amp, Stoughton General Division"
Prey,Michael Crichton,Avon Books
The Visitor (A Jack Reacher Novel),Lee Child,Transworld Publishers Ltd
Haunted Yorkshire,W.R. Mitchell,Dalesman Publishing Company Ltd
Fear Nothing,DEAN KOONTZ,Bantam
Dale Brown's Dreamland,Dale Brown,Berkley Publishing Group
The Key to Rebecca,Ken Follett,Signet Book
Shadows of Steel,Dale Brown,Berkley Publishing Group
J Is for Judgment,Sue Grafton,Fawcett Books
Void Moon,Michael Connelly,"Little, Brown"
The Last Coyote (Last Coyote),Michael Connelly,St. Martin's Press
Killing Critics (Kathleen Mallory Novels (Paperback)),Carol O'Connell,Jove Books
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,Bantam
Sphere,MICHAEL CRICHTON,Ballantine Books
Still Life with Woodpecker,TOM ROBBINS,Bantam
Slow Waltz in Cedar Bend,Robert James Waller,Warner Books
The Pelican Brief,John Grisham,Dell
Airframe,Michael Crichton,Alfred A. Knopf
Death of a River Guide,Richard Flanagan,Grove Press
American Way of Sex: An Informal Illustrated History (254p),Bradley Smith,Book Sales
"Christopher and gay,: A partisan's view of the Greenwich Village homosexual scene",Wallace Hamilton,Saturday Review Press
Halfway Home,Paul Monette,Harpercollins
The Boys and Their Baby (Stonewall Inn Editions),Larry Wolff,St Martins Pr
Gay Ideas: Outing and Other Controversies,Richard D. Mohr,Houghton Mifflin
The gay liberation book,Len Richmond,Ramparts Press
Culture Clash: The Making of Gay Sensibility,Michael Bronski,South End Press
"Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century",John Boswell,University of Chicago Press
The Age of Sensation,Herbert Hendin,"W. W. Norton &amp, Company"
"Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History",Eric Marcus,Harpercollins
Queer Looks: Perspectives on Lesbian and Gay Film and Video,Martha Gever,Routledge
"The Male Body: Features, Destinies, Exposures",Laurence Goldstein,UMP
A Queer Reader,Patrick Higgins,New Press
After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the '90s,Marshall Kirk,Bantam Dell Pub Group
Walt Whitman: A Gay Life,Gary Schmidgall,Dutton Books
Out Front: Contemporary Gay and Lesbian Plays,Don Shewey,Pub Group West
Same-Sex Love : And the Path to Wholeness,ROBERT H. HOPCKE,Shambhala
Homosexuality In History,Colin Spencer,Harcourt
On the Safe Edge: A Manual for SM Play,Trevor Jacques,Alternate Sources
Get the Message?: A Decade of Art for Social Change,Lucy R. Lippard,Penguin USA
The Gay Tapes: A Candid Discussion About Male Homosexuality,David Gottlieb,Natl Book Network
So Little Time: Essays on Gay Life,Mike Hippler,Celestial Arts
"Reviving the Tribe: Regenerating Gay Men's Sexuality and Culture in the Ongoing Epidemic (Haworth Gay &amp, Lesbian Studies)",Eric E. Rofes,Haworth Press
"The Thirteen Original Clan Mothers : Your Sacred Path to Discovering the Gifts, Talents, and Abilities of the Feminin",Jamie Sams,HarperSanFrancisco
Alchemist,Paulo Coelho,Random House Audio
Writing for Dollars,John Mccollister,Barnes Noble Books
Soul's Perfection (Journey of the Soul),Sylvia Browne,Hay House
"The Nature of Good and Evil (Journey of the Soul Series, Book 3)",Sylvia Browne,Hay House
Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants,Sylvia Browne,Hay House
The Other Side and Back: A Psychic's Guide to Our World and Beyond,Sylvia Browne,Penguin Putnam
The Camino,Shirley MacLaine,Atria
Don't Fall Off the Mountain,Shirley MacLaine,Bantam Books
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,New World Library
"Way of the Peaceful Warrior, 20th Anniversary Edition: A Book That Changes Lives",Dan Millman,H.J. Kramer
Running from Safety: An Adventure of the Spirit,Richard Bach,Delta
The Bridge Across Forever,Richard Bach,Dell
A Gift of Wings,Richard Bach,Dell
One,Richard Bach,Dell
The Secret of Shambhala : In Search of the Eleventh Insight,James Redfield,Warner Books
Maps to Ecstasy: A Healing Journey for the Untamed Spirit,Gabrielle Roth,New World Library
Bridget Jones: The Edge of Reason,Helen Fielding,Penguin Books
Invitation,Oriah Mountain Dreamer,HarperAudio
Chief Seattle (Northwest Mythic Landscape Series),David Buerge,Pub Group West
Write from the Heart: Unleashing the Power of Your Creativity,Hal Zina Bennett,Pub Group West
The Secret Language of the Stars and Planets: A Visual Key to the Heavens,Geoffrey Cornelius,Chronicle Books Llc
"Chris-In-The-Morning: Love, Life, and the Whole Karmic Enchilada",Louis Chunovic,McGraw-Hill
The Northern Exposure Cookbook: A Community Cookbook from the Heart of the Alaskan Riviera,Ellis Weiner,McGraw Hill - NTC
Northern Exposure: The Official Publication of the Television Series,Louis Chunovic,Carol Pub Group
Northern Exposures: Photographs,Rob Morrow,Hyperion Books
Letters from Cicely,Ellis Weiner,Pocket
The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book),Jon Scieszka,Viking Books
Portfolios of Ansel Adams,Ansel E. Adams,Bulfinch Press
Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature,Jana Stone,HarperCollins
Beyond Birth and Death,A. C. Bhaktivedanta Swami Prabhupada,Bhaktivedanta Book Trust
Journey of Self-Discovery,A. C. Bhaktivedanta Swami Prabhupada,Bhaktivedanta Book Trust
The Complete Book of Palmistry,Joyce Wilson,Bantam Books
The Language of Life: A Festival of Poets,Bill D. Moyers,Main Street Books
Walt Whitman: The Complete Poems (Penguin Classics),Francis Murphy,Penguin Books
Essential Rumi,Coleman Barks,HarperSanFrancisco
The Soul's Code : In Search of Character and Calling,James Hillman,Warner Books
The Flight of the Seventh Moon: The Teaching of the Shields,Lynn Andrews,HarperCollins Publishers
Developing Intuition: Practical Guidance for Daily Life,Shakti Gawain,New World Library
The Valkyries,Paulo Coelho,HarperSanFrancisco
Principles of Instrumental Analysis,Douglas A. Skoog,Brooks Cole
Chemistry,John McMurry,Prentice Hall
Physical Chemistry,P. W. Atkins,"W.H. Freeman &amp, Company"
Pooh (Giant Board Book),A. A. Milne,Dutton Books
The Giving Tree,Shel Silverstein,HarperCollins
Dream Pony (Sandy Lane Stables),Susannah Leigh,Educational Development Corporation
Don't Stand Too Close to a Naked Man,Tim Allen,Hyperion
The Wall Street Journal Lifetime Guide to Money : Strategies for Managing Your Finances,Staff of the Wall St Journal,Hyperion
Babyhood,Paul Reiser,"William Morrow &amp, Company"
Thirty Five Thousand Plus Baby Names: The Largest Selection of Popular and Unusual Names from Around the World,Bruce Lansky,Meadowbrook
Indoor Cat,Patricia Curtis,Perigee Books
"Maine Coon Cats: Everything About Purchase, Care, Nutrition, Reproduction, Diseases, and Behavior (A Complete Pet Owner's Manual)",Carol Himsel Daly,Barron's Educational Series
Really Important Stuff: My Kids Have Taught Me,Cynthia Copeland Lewis,Workman Publishing
Making Your Home a Haven: Strategies for the Domestically Challenged,Cyndy Salzmann,Horizon
The Westing Game (Now in Speak!),Ellen Raskin,Penguin Putnam Books for Young Readers
Interview with the Vampire,Anne Rice,Ballantine Books
The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,Ballantine Books
Lord God Made Them All,James Herriot,Bantam Doubleday Dell
"\O\"" Is for Outlaw""",SUE GRAFTON,Ballantine Books
Organic Chemistry,Marye Anne Fox,"Jones &amp, Bartlett Pub"
Inorganic Chemistry,D.F. Shriver,"W H Freeman &amp, Co"
Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,Tor Fantasy
"In-Home Child Care: A Step-By-Step Guide to Quality, Affordable Care","Debra K., Dr. Shatoff","Family CareWare, Inc."
Essentials of Computational Chemistry : Theories and Models,Christopher J.  Cramer,"John Wiley &amp, Sons"
Kushiel's Chosen (Kushiel's Legacy),Jacqueline Carey,Tor Fantasy
The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,Anchor
Virginia Woolf: A Biography,Quentin Bell,Harvest Books
Karpov-Korchnoi: Massacre in Merano (A Batsford chess book),Raymond D Keene,B.T. Batsford
New Developments in Latvian Gambit,Kon Grivainis,Chess Enterprises
Epic Battles of the Chessboard,R. N. Coles,Dover Publications
